split,plate_type,source_name,samples
test,blue,icpr_color_filtered,1
test,ngoaigiao,ngoaigiao,5
test,normal,vietnam_normal,552
test,other,icpr_color_filtered,355
test,quandoi,quandoi,38
test,yellow,icpr_color_filtered,12
train,blue,icpr_color_filtered,1
train,ngoaigiao,ngoaigiao,49
train,normal,vietnam_normal,2574
train,other,icpr_color_filtered,2840
train,quandoi,quandoi,279
train,yellow,icpr_color_filtered,101
val,blue,icpr_color_filtered,1
val,ngoaigiao,ngoaigiao,3
val,normal,vietnam_normal,551
val,other,icpr_color_filtered,355
val,quandoi,quandoi,26
val,yellow,icpr_color_filtered,12
